Тип_наблюдения;ФИО;Категория_наблюдения;Организация;Какие_возможные_последствия_наблюдения_или_преимущества_хорошей_практики_/_вашего_предложения?;Какие_меры_вы_предприняли?;Производилась_ли_остановка_работ?;Какие_действия_вы_предприняли_для_поощрения_хорошей_практики?;Обсудили_ли_вы_небезопасное_действие_/_небезопасное_поведение_с_наблюдаемым?;Сообщили_ли_ответственному_лицу?;Кому_вы_сообщили_о_наблюдении?_(Обязательно_к_заполнению_для_небезопасного_действия/_небезопасного_поведения/опасного_фактора_/_опасного_случая);Было_ли_небезопасное_условие_/_поведение_исправлено_и_опасность_устранена?;Дата_Время
Хорошая практика;Лилиев Нарцисс Азалиевич;Вождение, Транспортировка, Выполнение требований инструкций;"ТОО ""Серебряный Лотос""";Көлік қозғалыс кезінде үялы телефон пайдаланбауға және қауыпсіздік белдігін тағып жүруге;жүргізушіге ескертілді;False;Көлік қозғалыс кезінде үялы телефон пайдаланбауға және қауыпсіздік белдігін тағып жүруге;False;False;Нет данных;False;2025-06-13 15:47:00.000
Небезопасное условие ;Лилиев Маргарит Розанович;Рабочее место / Эргономика;"ТОО ""Ясный Василёк""";Необходимо ремонтировать кондиционер ;Доложил руководству ;False;Нет данных;False;True;Нет данных;False;2025-06-13 18:26:00.000
Небезопасное условие ;Тюльпанов Мелисс Флорович;Проскальзывание / Спотыкание / Падение;"ТОО ""Алая Гвоздика""";На ЦППС Елемес возле пожарного резервуара №5 крышка колодца осталось открытым.Риск падения людей.;Закрыли люк;False;Предупредил людей;True;True;Мастеру смены;True;2025-06-12 21:30:00.000
Опасный фактор;Ирисов Лилий Жасминович;Электрооборудование;"ТОО ""Сакура Плюс""";На территории НПС Борсенгир негорят фанари мачты 1 ;Сообщили заместителю начальника НПС Борсенгир ;False;Нет данных;True;True;Сообщили заместителю начальника НПС Борсенгир Даниярову А.;True;2025-06-13 00:05:00.000
Хорошая практика;Фиалков Виолан Розанович;Земляные работы, Охрана окружающей среды, Выполнение требований инструкций;"ТОО ""Южная Магнолия""";Нет данных;Нет данных;False;Нет данных;False;False;Нет данных;False;2025-06-13 00:27:00.000
Хорошая практика;Виолетов Нарцисс Магнолиевич;Наряд-допуск / Оценка риска;"ТОО ""Таёжный Жасмин""";Провел наблюдение, предложении нет.;Нет;False;Предложение нет;False;False;Опасного случай не было;False;2025-06-08 12:55:00.000
Хорошая практика;Орхидеев Хризантем Хризантемович;Наряд-допуск / Оценка риска;"ТОО ""Полевая Незабудка""";Провел наблюдение, предложение нет.;Нет;False;Предложение нет.;False;False;Опасного случай не было.;False;2025-06-08 13:18:00.000
Хорошая практика;Маргаритов Лилий Орхидеевич;Наряд-допуск / Оценка риска;"ТОО ""Янтарная Хризантема""";Провел наблюдение, предложение нет.;Нет;False;Предложение нет.;False;False;Опасного случай не было.;False;2025-06-08 13:25:00.000
Хорошая практика;Мелиссов Флорен Виолетович;Наряд-допуск / Оценка риска;"ТОО ""Тихая Камелия""";Провел наблюдение, предложение нет.;Нет;False;Предложение нет.;False;False;Опасного случай не было.;False;2025-06-08 13:31:00.000
Хорошая практика;Жасминов Маргарит Орхидеевич;Наряд-допуск / Оценка риска;"ТОО ""Ночная Лаванда""";Провел наблюдение, предложение нет.;Нет;False;Предложение нет;False;False;Опасного случай не было.;False;2025-06-08 13:38:00.000
Хорошая практика;Лотосов Орхидей Хризантемович;Наряд-допуск / Оценка риска;"ТОО ""Лесной Ландыш""";Провел наблюдение, предложение нет.;Нет;False;Предложение нет.;False;False;Опасного случай не было.;False;2025-06-08 13:42:00.000
Хорошая практика;Лавандов Вербен Пионович;Трубопроводы / Подземные коммуникации;"ТОО ""Звёздный Амариллис""";Превел наблюдение предложений нет;Нет;False;Предложение нет;False;False;Опасного случай не было;False;2025-06-08 14:08:00.000
Небезопасное действие;Вербенов Маргарит Нарциссович;Вождение;"ТОО ""Каспийский Тюльпан""";Нет данных;остановил, сделал замечание.;True;Нет данных;True;False;сообщении не было. так как я сделал замечание, водитель понял и и пообещал что такое не повторится.;True;2025-06-04 14:15:00.000
Хорошая практика;Магнолиев Сакур Маргаритович;Наряд-допуск / Оценка риска;"ТОО ""Степная Роза""";Нет данных;Нет данных;True;Нет данных;True;True;Нет данных;False;2025-06-08 14:00:00.000
Хорошая практика;Магнолиев Гортензий Жасминович;Наряд-допуск / Оценка риска;"ТОО ""Голубая Гортензия""";Нет данных;Да;True;Аб;True;True;Дма;False;2025-06-08 14:35:00.000
Хорошая практика;Пионов Жасмин Виолетович;Наряд-допуск / Оценка риска;"ТОО ""Рубиновый Мак""";Нет данных;Да;True;Аб;True;True;Дма;False;2025-06-08 14:35:00.000
Хорошая практика;Тюльпанов Фиал Сакурович;Опасные вещества/сероводород, Рабочее место / Эргономика;"ТОО ""Северный Нарцисс""";Замечаний нет условий по ТБ собл юдается.;Доложил руководству.;False;Поблагодарил работников.;True;True;Руководству.;True;2025-06-08 15:08:00.000
Хорошая практика;Магнолиев Хризантем Азалиевич;Санитарно-бытовые помещения;"ТОО ""Имперская Орхидея""";Замечаний нет условий по ТБ соблюдается.;Доложил руководству.;False;Поблагодарил работников.;True;True;Руководству.;True;2025-06-08 15:19:00.000
