Тип_наблюдения;ФИО;Категория_наблюдения;Организация;Какие_возможные_последствия_наблюдения_или_преимущества_хорошей_практики_/_вашего_предложения?;Какие_меры_вы_предприняли?;Производилась_ли_остановка_работ?;Какие_действия_вы_предприняли_для_поощрения_хорошей_практики?;Обсудили_ли_вы_небезопасное_действие_/_небезопасное_поведение_с_наблюдаемым?;Сообщили_ли_ответственному_лицу?;Кому_вы_сообщили_о_наблюдении?_(Обязательно_к_заполнению_для_небезопасного_действия/_небезопасного_поведения/опасного_фактора_/_опасного_случая);Было_ли_небезопасное_условие_/_поведение_исправлено_и_опасность_устранена?;Дата_Время
Небезопасное действие;Виолетов Жасмин Магнолиевич;Транспортировка, Поддержание чистоты и порядка, Санитарно-бытовые помещения, Перемещение грузов вручную, Монтажные и грузоподъемные работы, Опасные вещества/сероводород;"ТОО ""Небесная Камелия""";Наблюдается не правильное складирование гранулированной серы на складе под навесом. При неправильное складирование  снижает качество серы, усложняет погрузку и транспортировку.;Проведено беседа с персоналам. ;False;Обсудили план работы.;True;True;Начальнику цеха;True;2025-10-07 13:55:00.000
Небезопасное условие ;Пионов Виолан Нарциссович;Поддержание чистоты и порядка;"ТОО ""Степной Шалфей""";Строительный мусор загромождает проезд и выход из ПБ -5 ;Доложили начальнику участка и дежурному цуб ;False;.;True;True;Начальнику участка и дежурному цуб ;False;2025-10-07 14:48:00.000
Хорошая практика;Ирисов Лотос Вербенович;Целостность объекта / Оборудования;"ТОО ""Грация Гортензии""";Проводятся работы по восстановлению ограждения по периметру объекта;Сообщено руководство;False;Сообщено заказчику;False;True;Начальнику участка;True;2025-10-07 14:48:00.000
Опасный случай;Камелиев Флорен Сакурович;Машины и оборудование;"ТОО ""Пудровая Роза""";Ьақылау;Цех бастығына айтылды, ескертілді;False;Ешқандай;True;True;Цех бастығына;True;2025-10-01 15:00:00.000
Опасный случай;Лилиев Ирис Розанович;Поддержание чистоты и порядка;"ТОО ""Золотой Подсолнух""";Бақылау;Цех шеберіне айтылды. Ыдыс тазаланып, кемшілік орындалды;False;Тұрмыстық заттармен май шүберектер мүлдем араластырмау керек, бөлек өзінің арнайы ыдысына салыну керек;True;True;Цех шеберіне айтылды;True;2025-10-03 14:00:00.000
Небезопасное действие;Тюльпанов Вербен Георгинович;Транспортировка;"ТОО ""Кристальный Ирис""";Нұсқама жүргізілді;Ескерту жасалды;False;Түсіндірме жұмыстары жүргізілді;False;True;Басшыларға;True;2025-10-07 15:37:00.000
Небезопасное условие ;Хризантемов Фиал Камелиевич;Выполнение требований инструкций;"ТОО ""Лепесток Удачи""";Бақылау;Цех бастығының орынбасарына айтылды;False;Осындай сызбаларды басқада принцип. технологиялық схемаларды дер кезінде жаңартып отыру ұсынылды.;True;True;Цех орынбасарына хабарланды;True;2025-10-06 15:30:00.000
Опасный фактор;Виолетов Орхидей Жасминович;Электрооборудование;"ТОО ""Рассветная Лаванда""";Бақылау;Цех шеберіне айтылды;False;Ешқандай;True;True;Цех шеберіне хабарланды;True;2025-10-07 16:00:00.000
Небезопасное условие ;Астров Розан Георгинович;Электрооборудование;"ТОО ""Цветущий Олеандр""";Жұмағалиев БМАС-ның оңтүстік бекет ішіндегі жарық шамы жанбай қалды.;Жұмағалиев БМАС-ның энергетикке хабарланды;False;Нет данных;True;True;Жұмағалиев БМАС - ның энергетикке хабарланды;True;2025-10-07 15:30:00.000
Хорошая практика;Маргаритов Георгин Георгинович;Наряд-допуск / Оценка риска;"ТОО ""Весенний Букет""";Провел наблюдение, предложение нет.;Нет;False;Предложение нет.;False;False;Опасного случай не было.;False;2025-10-07 16:15:00.000
Хорошая практика;Вербенов Мелисс Астрович;Поддержание чистоты и порядка;"ТОО ""Флора Капитал""";Проводятся покрасочные мероприятие на входном манифольде ограждение территории вокруг МАФ операторами технологических установок;По благодарил за работу ;False;По благодарил за работу ;True;True;Мастеру ЦПНГ;True;2025-10-07 16:19:00.000
Опасный фактор;Мелиссов Фиал Пионович;Работы на высоте / Строительные леса;"ТОО ""Бархатный Тюльпан""";Бақылау;Ескерту беріліп, жұмыс уақытша тоқтатылды.;True;Түсіндірме жұмыстары жүргізілді;True;True;Цех бастығына және Алғыс-2030 ЖШС жауапты тұлғаларына хабарланды;True;2025-10-05 14:00:00.000
Хорошая практика;Гортензиев Лотос Вербенович;Трубопроводы / Подземные коммуникации;"ТОО ""Алый Тюльпан""";Провел наблюдение , предложение нет;Нет;False;Предложение нет;False;False;Опасного случай не было;False;2025-10-07 18:27:00.000
Опасный фактор;Фиалков Виолан Виолетович;Поддержание чистоты и порядка;"ТОО ""Белая Роза""";Скважина сағасын буумен тазалап жуу және әктеу жұмысы жасалынды;Нет данных;False;Нет данных;True;True;Топтық қондырғы Мастеріне: територияны айналым жасау кезінде байқап мәлімдедім;True;2025-10-07 14:10:00.000
Опасный случай;Гортензиев Хризантем Розанович;Знаки безопасности / Предупредительные таблички;"ТОО ""Золотая Лилия""";Тқ-айналасына темекі шегу, өзіндік қорғаныс белгілері қойылды, Топтық қондырғы Мастерінің жұмыс номері көрсетілген белгі ілінді;Өрт қауіпсіздік, ескерту белгілері жаңаланды;False;Нет данных;True;True;Нет данных;True;2025-10-07 15:00:00.000
Хорошая практика;Вербенов Гортензий Маргаритович;Рабочее место / Эргономика;"ТОО ""Лавандовый Рассвет""";Нет данных;Нет данных;False;Доложил руководству ;False;True;Доложил руководству ;False;2025-10-07 19:30:00.000
Опасный фактор;Вербенов Сакур Пионович;Проскальзывание / Спотыкание / Падение;"ТОО ""Синяя Орхидея""";4745 качалкасының палец болттары босаған екен соны Тқ мастеріне ескертіп тоқтаттым;Мастерге ескертіп Тербелмел Қондырғыны тоқтаттым;True;Палец ауыстыруға келген (Кайдзен) жұмысшылары жақсы кеңестермен бөлісіп,жұмысты қалай жасағанда ыңғайлы тез екенін ұқтым;True;True;Мастерге, және Диспечерге;True;2025-10-07 14:20:00.000
Хорошая практика;Сакуров Маргарит Георгинович;Прочее;"ТОО ""Пурпурный Ирис""";Замечание нет;Доложил рукаводству ;False;Доложил рукаводству ;False;True;Рукаводству ;False;2025-10-07 20:25:00.000
Небезопасное действие;Ирисов Виолан Вербенович;Транспортировка;"ТОО ""Нежная Фиалка""";Тқ қасында орналасқан дринажға Акн техникасымен келіп бочкасындағы мұнай қалдығын төгу кезінде тасытып жіберді;Акн жургізушісіне ескерту жасадым мұнайды далаға төкреуін ескертіп;False;Дринажға келген техникаларды қадағалау керек екен;True;True;Мастерге ;True;2025-10-07 16:10:00.000
Хорошая практика;Камелиев Астрон Лавандович;Прочее;"ТОО ""Солнечный Подсолнух""";Замечание нет ;Доложил Руководству ;False;Доложил Руководству ;False;True;Руководству ;False;2025-10-07 19:27:00.000
Небезопасное условие ;Жасминов Астрон Розанович;Взрыво- и пожароопасность, Сварка / Шлифовка / Отжиг;"ТОО ""Весенний Пион""";Өрт қалқандарындағы су бөшкелерінде су азайған;Жұмыскерлерге ескертілді;False;Нет данных;True;True;Бөлімше шеберіне;True;2025-09-05 15:18:00.000
Хорошая практика;Лотосов Фиал Жасминович;Прочее;"ТОО ""Горная Эдельвейс""";Замичание нет ;Доложил руководство ;False;Доложил руководство ;False;True;Руководство ;False;2025-10-07 19:43:00.000
Хорошая практика;Флоров Орхидей Азалиевич;Прочее;"ТОО ""Дикая Ромашка""";Нет данных;Доложил руководсту ;False;Доложил руководсту ;False;True;Руководсту ;True;2025-10-07 19:50:00.000
Хорошая практика;Георгинов Фиал Астрович;Прочее;"ТОО ""Серебряный Лотос""";Замечаний нет;Доложиль руководству;False;Доложиль руководству;False;True;Руководсту;False;2025-10-07 19:54:00.000
Хорошая практика;Розанов Магнолий Ирисович;Прочее;"ТОО ""Ясный Василёк""";Замечаний нет;Долажил рукаводству ;False;Долажил рукаводству ;False;True;Рукаводству ;False;2025-10-07 19:51:00.000
Хорошая практика;Нарциссов Магнолий Мелиссович;Прочее;"ТОО ""Алая Гвоздика""";Замечаний нет;Доложил руководству ;False;Доложил руководству ;False;True;Руководству;False;2025-10-07 19:58:00.000
Хорошая практика;Розанов Астрон Виолетович;СИЗ / Средства по обеспечению безопасности, Выполнение требований инструкций, Проскальзывание / Спотыкание / Падение;"ТОО ""Сакура Плюс""";"На объекте БПО-АВП провел наблюдение за работниками подрядной организации ТОО ""MSC"", вид работы влажная уборка помещении, хочу отметить что работа проводится с соблюдением правил ТБ и добросовестно, применяются предупреждающие знаки безопасности. ";Нет данных;False;Поблагодарил работников за добросовестный труд и соблюдение техники безопасности.  ;True;True;"Руководству компании ТОО ""MSC""";True;2025-10-07 15:10:00.000
Хорошая практика;Лотосов Георгин Азалиевич;Прочее;"ТОО ""Южная Магнолия""";Замечание нет.;Доложил руководству;False;Доложил руководству;False;True;Руководству.;False;2025-10-07 20:02:00.000
Опасный случай;Фиалков Фиал Нарциссович;Санитарно-бытовые помещения;"ТОО ""Таёжный Жасмин""";Бақылау;"""Мейрәлі"" ЖШС жұмысшыларына айтылды, тазалық жұмыстары жүргізіліп, жатақхананың айналасы тазаланды";False;Қауіпсіздік талаптары түсіндірілді;True;True;Цех бастығына айтылды;True;2025-10-04 15:00:00.000
Хорошая практика;Лилиев Сакур Камелиевич;СИЗ / Средства по обеспечению безопасности, Выполнение требований инструкций, Проскальзывание / Спотыкание / Падение;"ТОО ""Полевая Незабудка""";Провел наблюдение на объекте БПО АВП КНУ, вид работы влажная уборка помещении, средства защиты применяются знаки безопасности установлены.;Нет данных;False;Поблагодарил работников за добросовестный труд и соблюдение правил ТБ;True;True;"Руководству подрядной организации ТОО ""MSC""";True;2025-10-07 15:10:00.000
Предложение (инициатива);Георгинов Розан Нарциссович;Санитарно-бытовые помещения;"ТОО ""Янтарная Хризантема""";Ұсыныс;ӘҚ бөліміне айтылды;False;Ұсыныс айттым;True;True;Цех бастығының орынбасарына айтылды;True;2025-10-07 19:00:00.000
Хорошая практика;Лилиев Тюльпан Камелиевич;Прочее;"ТОО ""Тихая Камелия""";Замечаний нет;Доложил руководству;False;Доложил руководству;False;False;Руководству ;False;2025-10-07 20:07:00.000
Хорошая практика;Магнолиев Камелий Мелиссович;Прочее;"ТОО ""Ночная Лаванда""";Замичания нет;Нет данных;False;Нет данных;False;False;Нет данных;False;2025-10-07 19:56:00.000
Небезопасное поведение;Пионов Мелисс Магнолиевич;СИЗ / Средства по обеспечению безопасности;"ТОО ""Лесной Ландыш""";Провел наблюдение за работой работников компании ТОО Сарсен А, вид работы укладка кирпичной брусчатки перед здании АПДС КНУ, работники не применяют средства индивидуальной защиты, работают в гражданской одежде и в красавках, этим самым нарушают требование и инструкции ТБ;Остановил работу и провел разъяснительную беседу с работниками, привел пример о возможном получении травм конечности. ;True;Нет данных;True;True;Руководству подрядной организации ТОО Сарсен А. ;True;2025-10-07 14:00:00.000
Хорошая практика;Лавандов Лотос Сакурович;Прочее;"ТОО ""Звёздный Амариллис""";Замечаний нет;Доложил руководство;False;Доложил руководство;False;True;Руководство;False;2025-10-07 20:25:00.000
Хорошая практика;Тюльпанов Жасмин Георгинович;Прочее;"ТОО ""Каспийский Тюльпан""";Замечание нет;Доложил рукаводству ;False;Доложил рукаводству ;False;True;Рукаводству ;False;2025-10-07 20:25:00.000
Хорошая практика;Ирисов Хризантем Пионович;Прочее;"ТОО ""Степная Роза""";Замечание нет;Доложил рукаводству ;False;Доложил рукаводству ;False;True;Рукаводству ;False;2025-10-07 20:25:00.000
Хорошая практика;Розанов Лотос Пионович;Прочее;"ТОО ""Голубая Гортензия""";Замечание нет;Доложил рукаводству ;False;Доложил рукаводству ;False;True;Рукаводству ;False;2025-10-07 20:25:00.000
Хорошая практика;Флоров Астрон Орхидеевич;Прочее;"ТОО ""Рубиновый Мак""";Замечание нет;Доложил рукаводству ;False;Доложил рукаводству ;False;True;Рукаводству ;False;2025-10-07 20:25:00.000
Хорошая практика;Маргаритов Тюльпан Вербенович;Прочее;"ТОО ""Северный Нарцисс""";Замечане нет;Доложиль руководство ;False;Доложиль руководство ;False;True;Руководство ;False;2025-10-07 20:39:00.000
Хорошая практика;Розанов Фиал Розанович;Прочее;"ТОО ""Имперская Орхидея""";Замечании нет;Долажил руководству;False;Долажил руководству;False;True;Руководству;False;2025-10-07 20:57:00.000
Хорошая практика;Орхидеев Тюльпан Жасминович;Прочее;"ТОО ""Весенний Крокус""";Замичание нет;Доложил руководству;False;Доложил руководству;False;True;Доложил руководству;False;2025-10-07 20:59:00.000
Хорошая практика;Георгинов Магнолий Азалиевич;Прочее;"ТОО ""Изумрудный Папоротник""";Замичание нет;Доложил руководству ;False;Доложил руководству ;False;True;Руководству ;False;2025-10-07 21:17:00.000
Хорошая практика;Лотосов Розан Маргаритович;Прочее;"ТОО ""Белоснежная Азалия""";Замичаний нет;Доложил руководству ;False;Доложил руководству ;False;True; руководству ;False;2025-10-07 21:27:00.000
Хорошая практика;Вербенов Орхидей Нарциссович;Прочее;"ТОО ""Алтын Бәйшешек""";Замечаний нет;Доложил руководству;False;Доложил руководству ;False;True;Руководству;False;2025-10-07 21:36:00.000
Небезопасное действие;Камелиев Сакур Жасминович;Вождение;"ТОО ""Көктем Гүлі""";көлік жүргізушісі аймақта қауіпсіздік белдігін тақпаған;тоқтатып ескерттім;True;келесі ұмытпауды түсіндірдім;True;True;ЖҚҚ инженеріне ескертілді;True;2025-10-07 14:00:00.000
Опасный фактор;Нарциссов Тюльпан Фиалкович;Машины и оборудование;"ТОО ""Жемчужная Фрезия""";Автобус көлігінің дөнгелегі жарылған;Көлікті тоқтатып жүргізушіге ескерттім;True;Жүргізушіге бағыт-бағдар беріп, өз тәжірибеммен бөлістім;True;True;А/к басшыларына ескертілді;True;2025-10-07 21:46:00.000
Хорошая практика;Вербенов Лаврентий Лотосович;Прочее;"ТОО ""Лазурный Дельфиниум""";Замечание  нет;Доложил мысль;False;Руководству ;True;False;Руководству ;False;2025-10-07 22:29:00.000
Небезопасное условие ;Маргаритов Пион Лавандович;Трубопроводы / Подземные коммуникации;"ТОО ""Розовый Флокс""";Открытые люки пожарных колодцев возле склада №3.;Закрыл колодцы;False;Нет данных;True;True;Мастеру смены;True;2025-10-04 15:20:00.000
Небезопасное действие;Магнолиев Камелий Розанович;Земляные работы;"ТОО ""Сафлоровый Рассвет""";Работа без оградительной (сигнальной) лентой;Установили оградительную (сигнальную) ленту;False;Инструктаж;True;True;"Инженеру ТОО "" Вест Билд "".";True;2025-10-07 15:30:00.000
Хорошая практика;Пионов Астрон Азалиевич;Прочее;"ТОО ""Медовая Астра""";замечаний нет;доложил руководству;False;доложил руковдству;False;True;руководству;False;2025-10-07 22:49:00.000
Хорошая практика;Магнолиев Азалий Сакурович;Охрана окружающей среды;"ТОО ""Тайный Бутон""";Не замечании;Доложил рукаводству;False;Доложила рукаводству;True;True;Руководству;True;2025-10-07 22:55:00.000
Небезопасное действие;Маргаритов Орхидей Камелиевич;Транспортировка;"ТОО ""Цветущий Миндаль""";Нұсқама жүгізу;Қауіптің алдын алыу;False;Жұмысты ұқыпты жасау;True;True;Басшыларға;True;2025-10-07 23:33:00.000
Хорошая практика;Мелиссов Пион Маргаритович;Прочее;"ТОО ""Полевой Клевер""";Замичание нет ;Доложил руководству ;False;Доложил руководству ;False;True;Руководству ;False;2025-10-07 23:44:00.000
Хорошая практика;Георгинов Георгин Флорович;Прочее;"ТОО ""Огненная Георгина""";Замичание нет ;Доложил руководству ;False;Доложил руководству ;False;True;Руководству ;False;2025-10-07 23:55:00.000
Хорошая практика;Камелиев Лилий Камелиевич;Прочее;"ТОО ""Сияющая Примула""";замечания нет ;доложил руководства;False;Нет данных;False;True;Нет данных;False;2025-10-07 23:49:00.000
Хорошая практика;Камелиев Георгин Георгинович;Прочее;"ТОО ""Гармония Лилий""";Замичаний нет;Доложил руководству ;False;Доложил руководству ;False;True;Руководству ;False;2025-10-07 23:56:00.000
Хорошая практика;Вербенов Георгин Сакурович;Прочее;"ТОО ""Шёлковый Пион""";Замичания нет;Доложиль руководство;False;Доложиль руководство;True;False;Руководство ;False;2025-10-07 23:49:00.000
Хорошая практика;Азалиев Сакур Вербенович;Прочее;"ТОО ""Японская Сакура""";Замечаний нет;Доложил руководству;True;Доложил руководству ;False;True;Руководству;False;2025-10-07 00:23:00.000
Хорошая практика;Сакуров Фиал Тюльпанович;Прочее;"ТОО ""Лунная Орхидея""";Замечани нет;Доложил руководству;False;Нет данных;False;True;Руководству;False;2025-10-07 00:47:00.000
Хорошая практика;Флоров Виолан Вербенович;Прочее;"ТОО ""Садовый Гиацинт""";Замечание нет;Доложил Руководство ;False;Доложил Руководство ;False;True;Доложил Руководство ;False;2025-10-07 00:57:00.000
Предложение (инициатива);Флоров Флорен Лавандович;Прочее;"ТОО ""Белый Лотос KZ""";замечаний нет;доложил руководству;False;доложил руководству;False;True;руководству;False;2025-10-07 01:37:00.000
Хорошая практика;Мелиссов Виолан Лотосович;Прочее;"ТОО ""Ароматный Мирт""";Замечание нет;Доложил руководству;False;Доложил руководству;False;True;Руководству;False;2025-10-07 01:40:00.000
Хорошая практика;Сакуров Лотос Пионович;Прочее;"ТОО ""Цветочный Бриз""";Замечание нет;Доложиль руководству;False;Доложил руководству;False;True;Руководству;False;2025-10-07 01:42:00.000
Предложение (инициатива);Розанов Лотос Пионович;Прочее;"ТОО ""Небесная Камелия""";Замечаний нет;Доложил руководству;False;Доложил руководоству;False;True;Руководству;False;2025-10-07 01:48:00.000
Хорошая практика;Азалиев Азалий Тюльпанович;Прочее;"ТОО ""Степной Шалфей""";Замечание нет;Доложил руководству;False;Доложил руководству;False;True;Руководству;False;2025-10-07 01:50:00.000
Хорошая практика;Мелиссов Астрон Тюльпанович;Прочее;"ТОО ""Грация Гортензии""";Нет данных;доложили начальству;False;Нет данных;False;True;Начальству;False;2025-10-07 02:06:00.000
Хорошая практика;Тюльпанов Флорен Орхидеевич;Прочее;"ТОО ""Пудровая Роза""";Замечание нет;Доложил руковотству;False;Доложил руковотству;False;True;Руковотству;False;2025-10-07 02:13:00.000
Хорошая практика;Сакуров Лилий Ирисович;Прочее;"ТОО ""Золотой Подсолнух""";Нет данных;доложили начальству ;False;к начальнику;False;True;К начальству;False;2025-10-07 02:16:00.000
Хорошая практика;Розанов Мелисс Виолетович;Прочее;"ТОО ""Кристальный Ирис""";Замечаний нет;Доложил руководству;False;Доложил руководству;False;True;Руководству;False;2025-10-07 02:45:00.000
Хорошая практика;Розанов Магнолий Фиалкович;Трубопроводы / Подземные коммуникации;"ТОО ""Лепесток Удачи""";Провел наблюдение, предложение нет.;Нет;False;Предложение нет.;False;False;Опасного случай не было.;False;2025-10-07 03:22:00.000
Хорошая практика;Сакуров Астрон Вербенович;Вождение;"ТОО ""Рассветная Лаванда""";Провел наблюдение, предложение нет.;Нет.;False;Предложение нет.;False;False;Опасного случай не было.;False;2025-10-07 03:25:00.000
Хорошая практика;Гортензиев Орхидей Жасминович;Трубопроводы / Подземные коммуникации;"ТОО ""Цветущий Олеандр""";Нет данных;Нет данных;False;Нет данных;False;False;Нет данных;False;2025-10-07 03:45:00.000
Хорошая практика;Нарциссов Розан Астрович;Трубопроводы / Подземные коммуникации, Вождение;"ТОО ""Весенний Букет""";Провел наблюдение, предложение нет.;Нет.;False;Предложение нет.;False;False;Опасного случай не было.;False;2025-10-08 11:38:00.000
Хорошая практика;Розанов Розан Лавандович;Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска, Вождение;"ТОО ""Флора Капитал""";Нет;Сообщил начальнику ;False;.;True;True;Начальнику;False;2025-10-08 11:40:00.000
Хорошая практика;Вербенов Фиал Камелиевич;Трубопроводы / Подземные коммуникации, Вождение, Наряд-допуск / Оценка риска;"ТОО ""Бархатный Тюльпан""";Нет;Сообщил начальнику;False;.;True;True;начальнику;False;2025-10-08 11:41:00.000
Хорошая практика;Георгинов Георгин Азалиевич;Прочее;"ТОО ""Алый Тюльпан""";Замечаний нет;Доложил руководству ;False;Доложил руководству ;False;True;Руководству;False;2025-10-08 12:57:00.000
Хорошая практика;Камелиев Ирис Пионович;Транспортировка, Переносное оборудование / Ручные инструменты;"ТОО ""Белая Роза""";Нет данных;Дер кезінде көлік жүргізушісіне ескерттім;True;осындай көліктен құлайын деп тұрған жүктерді уақытында таңып отыруды ұсынамын.;True;True;сол жердегі көлік жүргізушісіне ескерттім;True;2025-10-08 13:00:00.000
Хорошая практика;Магнолиев Сакур Маргаритович;Транспортировка, Переносное оборудование / Ручные инструменты;"ТОО ""Золотая Лилия""";Ұңғыларға қызмет көрсету тобы көшу кезінде, көлікке тиелген жүктердің құлайын деп тұрғанын байқадым. Дереу көлік жүргізушіне ескерттім;Дереу көліктікті тоқтатып жүргізушісіне ескерттім, ;True;осындай қауіптіліктерді көрген кездерде дереу шара қолдану керек екендігін түсіндім.;True;True;Жүк тиелген көлік жүргізушіне ескерттім;True;2025-10-08 13:00:00.000
Хорошая практика;Маргаритов Лилий Жасминович;Поддержание чистоты и порядка, Падающие предметы;"ТОО ""Лавандовый Рассвет""";Гараж аумағында бақылау орында (яма) жұмыс жасап жатқан қызметкер, айналасында жатырған артық құрал-жабдықтарды жұмыс орнынан алмаған.  Бұл құрал -жабдықтар бақылау орында (яма) жұмыс жасап жатқан қызметкердің үстіне құлау қауіпі бар.;Уақытында жұмыс жасап жатқан қызметкерге ескертілді.;True;Осындай жұмыстар кезінде, ордың яма айналасында артық заттардың жатпауы және тазалық болуы ескертілді.;True;True;Жауапты қызметкерге ескертілді.;True;2025-10-08 13:30:00.000
Небезопасное условие ;Маргаритов Ирис Жасминович;Проскальзывание / Спотыкание / Падение;"ТОО ""Синяя Орхидея""";Посторонние предметы на лесничной площадке УРС;Предложил убраться на лестничной площадке;False;Нет данных;True;True;Начальник смены;True;2025-10-08 13:21:00.000
Хорошая практика;Камелиев Камелий Хризантемович;Поддержание чистоты и порядка;"ТОО ""Пурпурный Ирис""";Жұмысшыларға рахмет жақсы жұмыс жасады;Нет данных;False;Рахмет айтылды, әрі қарайда қауіпсіздікке терең көңіл  бөлуін айттым.;False;False;Нет данных;False;2025-10-08 13:48:00.000
Небезопасное действие;Розанов Лотос Лавандович;Рабочее место / Эргономика;"ТОО ""Нежная Фиалка""";"№4 су тарту қондырғысының манометірін ауыстыру кезінде, есігін алдына бөтен темір құралдарын қойған.
";"Жұмысын тоқтатып есікке шығатын жолдағы бөтен темір қалдықтарын жинастыру бойынша шұмсшыға тапсырма берілді.
";True;Нет данных;True;True;Нет данных;True;2025-09-20 15:11:00.000
Хорошая практика;Георгинов Розан Георгинович;Поддержание чистоты и порядка;"ТОО ""Солнечный Подсолнух""";"В гаражеГСТ Ботахан проведена уборка все инструментв поставленны на место. Мусор убран, замазученность масло отсутствует. 
";"Заданные задание своевременно выполнены
";False;Нет данных;True;True;Нет данных;True;2025-09-25 17:00:00.000
Небезопасное поведение;Пионов Азалий Лавандович;Взрыво- и пожароопасность, Сварка / Шлифовка / Отжиг, Наряд-допуск / Оценка риска;"ТОО ""Весенний Пион""";Огневые работы при монтаже столбов освещения вокруг одоранта на СУВГ сварочные работы проводил сварщик другой подрядной организации который не указан в наряд-допуске.;работы были приостановлены;True;контролировал устранения нарушения;True;True;было проведено разъяснительная работа с мастером и работниками подрядной организации. Отстранил от работ не указанного работника от работ. предупредил о рисках такого поведения. замечание устранено немедленно.;True;2025-10-06 16:50:00.000
Хорошая практика;Виолетов Ирис Сакурович;Поддержание чистоты и порядка;"ТОО ""Горная Эдельвейс""";"Вся течь масло с эксковатора AHD 869E, были устранены с помощю пара ППУ.
";"Назначить ответственного лица за поддержания чистоты транспортных средств.
";True;Нет данных;True;True;Нет данных;True;2025-09-25 21:15:00.000
Небезопасное действие;Астров Фиал Флорович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Дикая Ромашка""";"НБ-125 сорабына сальниксалу кезінде көзді қорғайтын арнайы көзілдірікті кимеген.
";"Жұмысын тоқтатып көз қорғаныш көзілдірікті кигізіп жұмысшыға ескерту жасалды.
";True;Нет данных;True;True;Нет данных;True;2025-09-25 21:45:00.000
Небезопасное действие;Орхидеев Флорен Лотосович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Серебряный Лотос""";"НБ-125 сорабына сальниксалу кезінде көзді қорғайтын арнайы көзілдірікті кимеген.
";"Жұмысын тоқтатып көз қорғаныш көзілдірікті кигізіп жұмысшыға ескерту жасалды.
";True;Нет данных;True;True;Нет данных;True;2025-09-25 21:45:00.000
Небезопасное условие ;Нарциссов Вербен Фиалкович;Испытание под давлением;"ТОО ""Ясный Василёк""";"Ұнғыларды аралау кезінде №160 ұнғымадағы мұнай құбырының ысырмасы (задвишка) жасамайтыны анықталды.
";"Ысырманы орнату кезінде операторға қысымы сәйкес келетін ысырманы орнату ескертілді.
";True;Нет данных;True;True;Нет данных;True;2025-09-25 16:25:00.000
Небезопасное условие ;Нарциссов Ирис Сакурович;Машины и оборудование;"ТОО ""Алая Гвоздика""";"Ұнғы №160 АФК-210-65 ысырмасын ауыстыру кезінде ысырма өлшейтін қысымға төзімділігі дұрыс таңдалмағаны анықталды, сонымен қатар флянец бекітпелері біркелкі тартылмаған.
";"Ысырманың қысымға сәйкестігі таңдалып жұмыстар техникалық талапқа сәйкес орындалды.
";True;Нет данных;True;True;Нет данных;True;2025-09-27 22:20:00.000
Небезопасное поведение;Нарциссов Вербен Астрович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Сакура Плюс""";Работник проводил огневые работы шлиф машинкой без защитных очков.;Остановил выполняемую работу и отстранил работника от провидения работ до устранения нарушении.;False;Провел разъяснительную беседу об опасности выполняемых работ.;True;True;Мастеру ТОО РМУ;True;2025-10-06 15:20:00.000
Небезопасное действие;Пионов Маргарит Жасминович;Взрыво- и пожароопасность;"ТОО ""Южная Магнолия""";Работник использовал сотовое устройство на участке;Остановил и отстранил работника от проведения работ до устронения нарушения;True;Провел разъяснительную беседу об опасности выполняемых работ;True;True;начальнику цеха №1;True;2025-10-06 19:29:00.000
Небезопасное поведение;Астров Вербен Жасминович;Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности, Сварка / Шлифовка / Отжиг;"ТОО ""Таёжный Жасмин""";При проведении сварочных работ на  кровле РВС 5000 м3 УПН м/р Кожасай у монтажника отсутствовал страховочный пояс. ;Сделал замечание монтажнику, что работы на высоте без страховочного пояса не допускаются.;False;Провел беседу об опасности работы на высоте;True;True;Начальнику участка данной организации и инженеру по БиОТ;True;2025-10-05 14:44:00.000
Небезопасное действие;Хризантемов Жасмин Хризантемович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Полевая Незабудка""";У работника нет СИЗ защиты органов дыхание.;Остановил выполняемую работу и отстранил работника от провидения работ до устранения нарушении.;True;Провел разъяснительную беседу об опасности выполняемых работ.;True;True;Мастеру ТОО Тулпар ЛДТ;True;2025-10-07 15:15:00.000
Небезопасное поведение;Тюльпанов Георгин Астрович;Сварка / Шлифовка / Отжиг;"ТОО ""Янтарная Хризантема""";Работал без огнетушителя ;Нет данных;False;Нет данных;False;False;Нет данных;False;2025-10-08 14:57:00.000
Небезопасное действие;Маргаритов Флорен Камелиевич;СИЗ / Средства по обеспечению безопасности, Рабочее место / Эргономика;"ТОО ""Тихая Камелия""";Работа без перчаток;Устное предупреждение;True;Пример;True;False;Начальник участка;True;2025-10-08 14:20:00.000
Хорошая практика;Лотосов Вербен Лилиевич;Вывешивание плакатов, СИЗ / Средства по обеспечению безопасности, Поддержание чистоты и порядка;"ТОО ""Ночная Лаванда""";Плакат вывешены ровно.;Похвалил;False;Пример для остальным;True;True;Начальник УПГ;False;2025-10-08 15:14:00.000
